t,market_prob
197.0,0.905
198.0,0.905
199.0,0.905
200.0,0.905
201.0,0.905
202.0,0.905
203.0,0.905
204.0,0.905
205.0,0.905
206.0,0.905
207.0,0.905
208.0,0.905
209.0,0.905
210.0,0.905
211.0,0.905
212.0,0.905
213.0,0.905
214.0,0.905
215.0,0.905
216.0,0.905
217.0,0.905
218.0,0.905
219.0,0.905
220.0,0.905
221.0,0.905
222.0,0.905
223.0,0.905
224.0,0.905
225.0,0.905
226.0,0.905
227.0,0.905
228.0,0.905
229.0,0.905
230.0,0.905
231.0,0.905
232.0,0.905
233.0,0.905
234.0,0.905
235.0,0.905
236.0,0.905
237.0,0.905
238.0,0.905
239.0,0.905
240.0,0.905
241.0,0.905
242.0,0.905
243.0,0.905
244.0,0.905
245.0,0.905
246.0,0.905
247.0,0.905
248.0,0.905
249.0,0.905
250.0,0.905
251.0,0.905
252.0,0.905
253.0,0.905
254.0,0.905
255.0,0.905
256.0,0.905
257.0,0.905
258.0,0.905
259.0,0.905
260.0,0.905
261.0,0.905
262.0,0.905
263.0,0.905
264.0,0.905
265.0,0.905
266.0,0.905
267.0,0.905
268.0,0.905
269.0,0.905
270.0,0.905
271.0,0.905
272.0,0.905
273.0,0.905
274.0,0.905
275.0,0.905
276.0,0.905
277.0,0.905
278.0,0.905
279.0,0.905
280.0,0.905
281.0,0.905
282.0,0.905
283.0,0.905
284.0,0.905
285.0,0.905
286.0,0.905
287.0,0.905
288.0,0.905
289.0,0.905
290.0,0.905
291.0,0.905
292.0,0.905
293.0,0.905
294.0,0.905
295.0,0.905
296.0,0.905
297.0,0.905
298.0,0.905
299.0,0.905
300.0,0.905
301.0,0.905
302.0,0.905
303.0,0.905
304.0,0.905
305.0,0.905
306.0,0.905
307.0,0.905
308.0,0.905
309.0,0.905
310.0,0.905
311.0,0.905
312.0,0.905
313.0,0.905
314.0,0.905
315.0,0.905
316.0,0.905
317.0,0.905
318.0,0.905
319.0,0.905
320.0,0.905
321.0,0.905
322.0,0.905
323.0,0.905
324.0,0.905
325.0,0.905
326.0,0.905
327.0,0.905
328.0,0.905
329.0,0.905
330.0,0.905
331.0,0.905
332.0,0.905
333.0,0.905
334.0,0.905
335.0,0.905
336.0,0.905
337.0,0.905
338.0,0.905
339.0,0.905
340.0,0.905
341.0,0.905
342.0,0.905
343.0,0.905
344.0,0.905
345.0,0.905
346.0,0.905
347.0,0.905
348.0,0.905
349.0,0.905
350.0,0.905
351.0,0.905
352.0,0.905
353.0,0.905
354.0,0.905
355.0,0.905
356.0,0.905
357.0,0.905
358.0,0.905
359.0,0.905
360.0,0.905
361.0,0.905
362.0,0.895
363.0,0.895
364.0,0.895
365.0,0.895
366.0,0.895
367.0,0.895
368.0,0.895
369.0,0.895
370.0,0.895
371.0,0.895
372.0,0.895
373.0,0.895
374.0,0.895
375.0,0.895
376.0,0.895
377.0,0.895
378.0,0.895
379.0,0.895
380.0,0.895
381.0,0.895
382.0,0.895
383.0,0.895
384.0,0.895
385.0,0.895
386.0,0.895
387.0,0.895
388.0,0.895
389.0,0.895
390.0,0.895
391.0,0.895
392.0,0.895
393.0,0.895
394.0,0.895
395.0,0.895
396.0,0.895
397.0,0.895
398.0,0.895
399.0,0.895
400.0,0.895
401.0,0.895
402.0,0.895
403.0,0.895
404.0,0.895
405.0,0.895
406.0,0.895
407.0,0.895
408.0,0.895
409.0,0.895
410.0,0.895
411.0,0.895
412.0,0.895
413.0,0.895
414.0,0.895
415.0,0.895
416.0,0.895
417.0,0.895
418.0,0.895
419.0,0.895
420.0,0.895
421.0,0.895
422.0,0.885
423.0,0.885
424.0,0.885
425.0,0.885
426.0,0.885
427.0,0.885
428.0,0.885
429.0,0.885
430.0,0.885
431.0,0.885
432.0,0.885
433.0,0.885
434.0,0.885
435.0,0.885
436.0,0.885
437.0,0.885
438.0,0.885
439.0,0.885
440.0,0.885
441.0,0.885
442.0,0.885
443.0,0.885
444.0,0.885
445.0,0.885
446.0,0.885
447.0,0.885
448.0,0.885
449.0,0.885
450.0,0.885
451.0,0.885
452.0,0.885
453.0,0.885
454.0,0.885
455.0,0.885
456.0,0.885
457.0,0.885
458.0,0.885
459.0,0.885
460.0,0.885
461.0,0.885
462.0,0.885
463.0,0.885
464.0,0.885
465.0,0.885
466.0,0.885
467.0,0.885
468.0,0.885
469.0,0.885
470.0,0.885
471.0,0.885
472.0,0.885
473.0,0.885
474.0,0.885
475.0,0.885
476.0,0.885
477.0,0.885
478.0,0.885
479.0,0.885
480.0,0.885
481.0,0.885
482.0,0.88
483.0,0.88
484.0,0.88
485.0,0.88
486.0,0.88
487.0,0.88
488.0,0.88
489.0,0.88
490.0,0.88
491.0,0.88
492.0,0.88
493.0,0.88
494.0,0.88
495.0,0.88
496.0,0.88
497.0,0.88
498.0,0.88
499.0,0.88
500.0,0.88
501.0,0.88
502.0,0.88
503.0,0.88
504.0,0.88
505.0,0.88
506.0,0.88
507.0,0.88
508.0,0.88
509.0,0.88
510.0,0.88
511.0,0.88
512.0,0.88
513.0,0.88
514.0,0.88
515.0,0.88
516.0,0.88
517.0,0.88
518.0,0.88
519.0,0.88
520.0,0.88
521.0,0.88
522.0,0.88
523.0,0.88
524.0,0.88
525.0,0.88
526.0,0.88
527.0,0.88
528.0,0.88
529.0,0.88
530.0,0.88
531.0,0.88
532.0,0.88
533.0,0.88
534.0,0.88
535.0,0.88
536.0,0.88
537.0,0.88
538.0,0.88
539.0,0.88
540.0,0.88
541.0,0.88
542.0,0.88
543.0,0.88
544.0,0.88
545.0,0.88
546.0,0.88
547.0,0.88
548.0,0.88
549.0,0.88
550.0,0.88
551.0,0.88
552.0,0.88
553.0,0.88
554.0,0.88
555.0,0.88
556.0,0.88
557.0,0.88
558.0,0.88
559.0,0.88
560.0,0.88
561.0,0.88
562.0,0.88
563.0,0.88
564.0,0.88
565.0,0.88
566.0,0.88
567.0,0.88
568.0,0.88
569.0,0.88
570.0,0.88
571.0,0.88
572.0,0.88
573.0,0.88
574.0,0.88
575.0,0.88
576.0,0.88
577.0,0.88
578.0,0.88
579.0,0.88
580.0,0.88
581.0,0.88
582.0,0.88
583.0,0.88
584.0,0.88
585.0,0.88
586.0,0.88
587.0,0.88
588.0,0.88
589.0,0.88
590.0,0.88
591.0,0.88
592.0,0.88
593.0,0.88
594.0,0.88
595.0,0.88
596.0,0.88
597.0,0.88
598.0,0.88
599.0,0.88
600.0,0.88
601.0,0.88
602.0,0.88
603.0,0.88
604.0,0.88
605.0,0.88
606.0,0.88
607.0,0.88
608.0,0.88
609.0,0.88
610.0,0.88
611.0,0.88
612.0,0.88
613.0,0.88
614.0,0.88
615.0,0.88
616.0,0.88
617.0,0.88
618.0,0.88
619.0,0.88
620.0,0.88
621.0,0.88
622.0,0.88
623.0,0.88
624.0,0.88
625.0,0.88
626.0,0.88
627.0,0.88
628.0,0.88
629.0,0.88
630.0,0.88
631.0,0.88
632.0,0.88
633.0,0.88
634.0,0.88
635.0,0.88
636.0,0.88
637.0,0.88
638.0,0.88
639.0,0.88
640.0,0.88
641.0,0.88
642.0,0.88
643.0,0.88
644.0,0.88
645.0,0.88
646.0,0.88
647.0,0.88
648.0,0.88
649.0,0.88
650.0,0.88
651.0,0.88
652.0,0.88
653.0,0.88
654.0,0.88
655.0,0.88
656.0,0.88
657.0,0.88
658.0,0.88
659.0,0.88
660.0,0.88
661.0,0.88
662.0,0.88
663.0,0.88
664.0,0.88
665.0,0.88
666.0,0.88
667.0,0.88
668.0,0.88
669.0,0.88
670.0,0.88
671.0,0.88
672.0,0.88
673.0,0.88
674.0,0.88
675.0,0.88
676.0,0.88
677.0,0.88
678.0,0.88
679.0,0.88
680.0,0.88
681.0,0.88
682.0,0.88
683.0,0.88
684.0,0.88
685.0,0.88
686.0,0.88
687.0,0.88
688.0,0.88
689.0,0.88
690.0,0.88
691.0,0.88
692.0,0.88
693.0,0.88
694.0,0.88
695.0,0.88
696.0,0.88
697.0,0.88
698.0,0.88
699.0,0.88
700.0,0.88
701.0,0.88
702.0,0.88
703.0,0.88
704.0,0.88
705.0,0.88
706.0,0.88
707.0,0.88
708.0,0.88
709.0,0.88
710.0,0.88
711.0,0.88
712.0,0.88
713.0,0.88
714.0,0.88
715.0,0.88
716.0,0.88
717.0,0.88
718.0,0.88
719.0,0.88
720.0,0.88
